,subject_id,rpl,resting_alpha_power,resting_total_power,smr_strength,mu_erd_real_C3,mu_erd_real_C4,mu_erd_real_Cz,beta_erd_real_C3,beta_erd_real_C4,beta_erd_real_Cz,mu_ers_real_C3,mu_ers_real_C4,mu_ers_real_Cz,beta_ers_real_C3,beta_ers_real_C4,beta_ers_real_Cz,mu_erd_imagined_C3,mu_erd_imagined_C4,mu_erd_imagined_Cz,beta_erd_imagined_C3,beta_erd_imagined_C4,beta_erd_imagined_Cz,mu_ers_imagined_C3,mu_ers_imagined_C4,mu_ers_imagined_Cz,beta_ers_imagined_C3,beta_ers_imagined_C4,beta_ers_imagined_Cz,FF_alpha_entropy_gap,FF_alpha_entropy_imagined,FF_alpha_entropy_real,FF_alpha_lzc_gap,FF_alpha_lzc_imagined,FF_alpha_lzc_real,FF_beta_entropy_gap,FF_beta_entropy_imagined,FF_beta_entropy_real,FF_beta_lzc_gap,FF_beta_lzc_imagined,FF_beta_lzc_real,LRF_alpha_entropy_gap,LRF_alpha_entropy_imagined,LRF_alpha_entropy_real,LRF_alpha_lzc_gap,LRF_alpha_lzc_imagined,LRF_alpha_lzc_real,LRF_beta_entropy_gap,LRF_beta_entropy_imagined,LRF_beta_entropy_real,LRF_beta_lzc_gap,LRF_beta_lzc_imagined,LRF_beta_lzc_real,FF_tar_gap,FF_tar_imagined,FF_tar_real,LRF_tar_gap,LRF_tar_imagined,LRF_tar_real,mean_accuracy
0,S001,2.513672110833331,1.189927922415246e-10,4.733823147764335e-11,7.047675501181409,-86.08119832537709,-79.7504801567759,-79.75383769145856,-70.42258629766468,-50.05222616214115,-60.26295316534171,231.71085720634687,866.7695628794387,107.55687649728443,112.2534456300554,175.8612607548166,218.665954076294,-79.28832881131014,-68.7564217281021,-72.04502026397599,-51.95233266193213,-39.79887918932395,-45.82023262932088,95.0993302120855,388.3506431319901,400.756858968086,60.54140643603698,98.57668762434876,105.99200688722046,-0.0016056420197994,-0.0203868163927444,-0.0219924584125438,0.0026760045588593,-0.0572901206193918,-0.0546141160605324,0.0013171156614637,-0.0231139992349557,-0.0217968835734919,0.0083625142464356,-0.0524133966361834,-0.0440508823897478,0.0017783522766972,-0.0275899702774021,-0.0258116180007049,-0.00180630307723,-0.0598992250642798,-0.0617055281415098,0.0028018639279176,-0.0205883660577312,-0.0177865021298135,-0.0082287140184926,-0.040638976577202,-0.0488676905956947,0.0275698128052781,-0.0052763882231111,0.0222934245821669,9.759675063033638e-06,0.0131255357966905,0.0131352954717535,0.5111111111111111
1,S002,3.4970485628603787,5.357482353162689e-11,1.5320011309138315e-11,3.612942887436724,-91.71124411840404,-91.1423678196028,-80.04803541281188,-70.46625126088037,-81.44063622913734,-55.76581285431524,152.5834070015675,224.92334632352456,157.36757994368563,63.946757989605054,86.74347873365383,99.28870491689644,-85.41921863125553,-80.28527976324925,-83.04916907710704,-46.538632355380095,-47.366582852347705,-60.705868800721966,146.31712227333853,227.1203130323775,366.2095977232716,155.34575339916972,125.25751730538998,407.6095821218025,0.0111521093471038,-0.0312969171875875,-0.0201448078404836,0.0026091044448878,-0.0584616314031556,-0.0558525269582677,0.0044407645372971,-0.0175331478893991,-0.0130923833521019,-0.0027429046728308,-0.0472727655507501,-0.050015670223581,-0.0045775730454994,-0.0288633146039096,-0.0334408876494091,0.0062886107133195,-0.0585285315171272,-0.0522399208038075,-0.0015917828980137,-0.0155576162229571,-0.017149399120971,-0.0008697014816293,-0.0453995623595485,-0.0462692638411778,0.0213872677955692,-0.0348962763429245,-0.0135090085473552,0.0109481513371766,-0.0344214269211348,-0.0234732755839581,0.7777777777777778
2,S003,0.9819745825871627,1.282097214704057e-10,1.3056317723888279e-10,2.8835718957282026,-64.60482199525238,-65.89788424998434,-69.57646796048024,-72.84142691375737,-66.44526146098212,-73.98493586306867,1025.743225024558,577.8266544440459,880.3687211590013,94.1280802329828,183.41916479360847,144.6527617545248,-38.45510570608477,-64.5780248590401,-53.47133809051389,-42.87374203650419,-43.27530816757877,-46.84056631092965,1873.708983136992,495.294982671147,1289.9509968005364,99.60847425394417,58.01709760973471,99.10305807036458,-0.0065727647062039,-0.0196584904359162,-0.0262312551421202,-0.0046830079780039,-0.0540091810630439,-0.0586921890410478,0.0079666284085129,-0.0186170048875343,-0.0106503764790212,-0.0004683007978004,-0.0644662960267278,-0.0649345968245282,0.0019455604814446,-0.0245466317697915,-0.0226010712883468,0.0014049023934011,-0.0607660925741639,-0.0593611901807626,-0.0013336883305682,-0.0150670340287394,-0.0164007223593078,-0.0024753042169449,-0.0686810032069314,-0.0711563074238764,0.0360357539321288,-0.2158202297697461,-0.1797844758376171,0.0661615702143296,-0.3161682689129661,-0.2500066986986364,0.5111111111111111
3,S004,1.7079291034632458,1.413210285756204e-11,8.274408363266209e-12,1.9727070481802824,-75.33405016968382,-82.5007520430911,-76.12472673996716,-84.32383455989617,-82.14473316952417,-79.91251068763466,164.69307214194993,906.4358945291916,299.1757271747701,16.72969260863006,112.35891795430312,243.23369301525904,-82.39058060795486,-77.54841694294076,-81.07439149453612,-43.42479279744813,-40.20610319413217,-62.410340006791785,515.0601317517028,308.1162919766599,536.6497627221179,121.87095566105342,147.42078556056188,113.034460294618,0.0035443495267658,-0.0102019154613461,-0.0066575659345803,-0.0163236278090423,-0.031006018361918,-0.0473296461709603,-0.0048514432859062,-0.0034893486139246,-0.0083407918998309,-0.0052182088897758,-0.0473368316929763,-0.0525550405827522,-0.0084390479969598,-0.0094173741565929,-0.0178564221535527,0.0008697014816293,-0.0434494395606142,-0.0425797380789849,-0.0030011902489783,-0.0085708923144269,-0.0115720825634052,-0.0004683007978003,-0.0529564412665811,-0.0534247420643815,0.0786821851770407,0.0071155585582337,0.0857977437352744,0.0164813566311707,0.0128670880816178,0.0293484447127885,0.4444444444444445
4,S005,1.2535682839199784,5.917130955897488e-12,4.720230267308844e-12,2.8118388405341364,-58.961457335916215,-77.9103144462131,-73.30578504116488,-71.82974210578058,-83.56754609648424,-62.23387645140412,303.1428171173909,476.64525432209024,369.3790532320154,45.83922446720384,157.8637761336718,137.93032121551082,-47.35258791753477,-70.4840028279842,-72.0168815211517,-65.40413610595282,-65.06386814613086,-40.098211861490135,735.634248666032,408.2425643866966,182.3531230859378,82.65163749825028,125.0259411297716,72.5076566800952,-0.0066991474034405,-0.020657688613849,-0.0273568360172896,0.0121089206288387,-0.0669651313995503,-0.0548562107707115,0.0088845234945798,0.0078594709113922,0.0167439944059721,-0.0023415039890019,-0.0556823421089408,-0.0580238460979427,-0.0078856528346506,-0.0140711672889216,-0.0219568201235722,-0.0217425370407326,-0.0497718021088786,-0.0715143391496113,0.0065082822241755,0.0030725950537977,0.0095808772779733,-0.0043485074081464,-0.0536084385758247,-0.0579569459839712,-0.0153822913495106,0.0120693927256444,-0.0033128986238661,-0.013546935023126,0.0137425804639347,0.0001956454408086,0.3999999999999999
5,S006,0.6068745139225001,3.705227159574179e-12,6.105425544443523e-12,2.4837602515156902,-71.88719796008334,-61.07222406104816,-52.20080800220365,-74.61597382035455,-45.89294375089219,-48.481297419223566,439.9268767548834,792.5539768858774,282.3493455076598,93.78756280259594,142.19548952027475,139.16549220698852,-65.94333760232246,-66.95038650043479,-65.81197823700543,-55.10889939910088,-66.3334164705713,-61.07236476162491,194.06972033133724,388.82849485962,268.1327622060302,162.87453533763963,90.22837765296246,97.03750859305474,0.0021244818673402,-0.0134077077098527,-0.0112832258425124,-0.0031443053566598,-0.0670769180501414,-0.0702212234068012,0.0055573015646473,-0.0005722641622337,0.0049850374024136,-0.0040809069522606,-0.0495730763567935,-0.0536539833090542,-0.0011274820027317,-0.0084147382272311,-0.0095422202299629,-0.0135138230222399,-0.0535630950279014,-0.0670769180501414,0.0073936261214298,0.0011802541335365,0.0085738802549664,-0.0009366015956008,-0.0564637880958565,-0.0574003896914573,0.0038413412282017,-0.046715361219281,-0.0428740199910792,0.008142695071617,-0.0500258980663841,-0.041883202994767,0.6
6,S007,3.473229044908952,6.534590846011091e-11,1.8814166188059133e-11,5.198240300590832,-47.001289516778606,-76.58280341471863,-57.87869020252163,-68.48841555016926,-77.66768823370519,-75.19810337250102,243.94808525567035,606.459935425096,335.6197575508189,123.34456410333816,212.4161125373097,47.768595536749686,-68.35136980367899,-70.45739483586765,-75.1007734584195,-57.8177793075226,-63.04936472967008,-46.35633843153961,709.5438936176704,354.1828301897563,802.4316487315408,217.72574669451564,120.83551461931596,184.16309584786865,0.002433680941153,-0.0096428063011554,-0.0072091253600022,0.0007359012536862,-0.0462557521790615,-0.0455198509253753,-0.0056435477504843,-0.0293469843760836,-0.034990532126568,0.0017394029632586,-0.0730061806445065,-0.0712667776812479,-0.0050400605085678,-0.0149380469589166,-0.0199781074674845,0.0030105051287168,-0.046322652293033,-0.0433121471643162,-0.0042972179419285,-0.0282404972066796,-0.0325377151486082,0.0026091044448878,-0.0780236891923679,-0.07541458474748,0.0199733153540851,0.015123411228259,0.0350967265823441,0.010415080849508,-0.001214674858332,0.0092004059911759,0.9111111111111112
7,S008,2.243200615666547,3.68703135020821e-11,1.643647618700676e-11,1.8279168326765929,-83.99623564266601,-79.47439977806827,-82.5379283456686,-60.242086183459975,-61.05768907090702,-62.95001439851894,480.7978764573984,436.50397596469406,531.6227570134148,32.05897120936731,25.4680104765893,34.543095611851705,-35.80734113813091,-44.931269043339725,-48.8469765040075,-51.88357735371086,-58.8201953530788,-46.30740413949147,867.1668233706919,305.4683264425084,339.0127604455773,85.3405359038263,145.25747788903993,370.3766687488059,-0.0155499347166947,-0.008534620870728,-0.0240845555874227,-0.0012711021654582,-0.0726339790600455,-0.0739050812255038,0.0064776950032797,-0.0071567635102554,-0.0006790685069756,-0.0070245119670059,-0.0594117446608727,-0.0664362566278786,-0.0086849096104684,-0.0036944994663807,-0.0123794090768491,0.0036126061544602,-0.0854788009425707,-0.0818661947881105,2.739473774599988e-05,-0.0091334370973412,-0.0091060423595953,-0.0008697014816293,-0.0612849478520743,-0.0621546493337036,0.2429778484548855,0.0178594298092467,0.2608372782641323,0.1028606014224494,0.0212086089129661,0.1240692103354155,0.6888888888888889
8,S009,1.5201443669864074,4.614527142806456e-11,3.035584805642159e-11,3.9159337899409854,-56.54598520471724,-65.40632336526126,-77.9154474648025,-43.33276469308522,-34.11526858420743,-38.25191307664299,194.40094817230028,214.33588430009712,266.96831120310577,99.6195471632562,128.2147578718615,99.67622627030586,-68.83851727556019,-76.95555113895207,-82.56649352061032,-48.59564588143766,-39.61295109912446,-46.79002917271865,287.7961975992822,341.1941563267475,272.8320569158633,331.352445568489,59.86516691218565,131.992701770783,-0.0057290896369126,-0.0378011054294207,-0.0435301950663334,-0.0052851090037473,-0.0388156696695007,-0.044100778673248,-0.0023743237280534,-0.0154507163481261,-0.0178250400761795,0.0065562111692055,-0.0638193084643649,-0.0572630972951593,-0.0053640625651984,-0.0467539415680191,-0.0521180041332175,-0.012978622110468,-0.0453718808387062,-0.0583505029491743,0.0002982688263883,-0.0183510894379694,-0.0180528206115811,0.0028767049007738,-0.0604074026518191,-0.0575306977510453,0.0876777006755845,-0.0247147147565524,0.062962985919032,0.0745387140644763,-0.019699076610052,0.0548396374544243,0.6000000000000001
9,S010,1.9520521963042283,1.1126629599856689e-10,5.6999652063210496e-11,2.728515836220261,-85.8892116436604,-79.08092547778872,-86.505638631957,-34.446735954404,-52.12843901172798,-56.71805533700957,92.70938040238684,76.39877289539653,421.5046308571669,121.2765013276473,216.4938188476993,122.2773152916335,-64.72697581496845,-53.55785331342437,-68.0613569365168,-56.923539539346656,-48.90925081529719,-59.00819140925721,270.3227987452903,174.8924418690358,217.9204417949752,152.23979166581725,103.61567302121333,100.53278547593764,-0.0009405104177125,-0.0253103567243959,-0.0262508671421086,0.0139821238200403,-0.0668163019309655,-0.0528341781109251,0.0013232432130995,-0.0158489704283625,-0.0145257272152629,0.0029436050147453,-0.0460051555536468,-0.0430615505389015,0.0022453611471624,-0.0275503292544056,-0.0253049681072431,-0.0037464063824031,-0.0533693790226969,-0.0571157854051001,0.0037384829654935,-0.0144290789841061,-0.0106905960186125,-0.0009366015956008,-0.0419242486013863,-0.0428608501969871,-0.0811801175396193,-0.0577746967386384,-0.1389548142782577,0.0102807442159442,-0.0735068817458153,-0.0632261375298711,0.4222222222222222
