subject_id,Left/Right Fist 1_beta_entropy_real,Left/Right Fist 1_beta_entropy_imagined,Left/Right Fist 1_beta_entropy_gap,Left/Right Fist 1_alpha_entropy_real,Left/Right Fist 1_alpha_entropy_imagined,Left/Right Fist 1_alpha_entropy_gap,Left/Right Fist 1_beta_lzc_real,Left/Right Fist 1_beta_lzc_imagined,Left/Right Fist 1_beta_lzc_gap,Left/Right Fist 1_alpha_lzc_real,Left/Right Fist 1_alpha_lzc_imagined,Left/Right Fist 1_alpha_lzc_gap,Left/Right Fist 1_tar_real,Left/Right Fist 1_tar_imagined,Left/Right Fist 1_tar_gap,Fists/Feet 1_beta_entropy_real,Fists/Feet 1_beta_entropy_imagined,Fists/Feet 1_beta_entropy_gap,Fists/Feet 1_alpha_entropy_real,Fists/Feet 1_alpha_entropy_imagined,Fists/Feet 1_alpha_entropy_gap,Fists/Feet 1_beta_lzc_real,Fists/Feet 1_beta_lzc_imagined,Fists/Feet 1_beta_lzc_gap,Fists/Feet 1_alpha_lzc_real,Fists/Feet 1_alpha_lzc_imagined,Fists/Feet 1_alpha_lzc_gap,Fists/Feet 1_tar_real,Fists/Feet 1_tar_imagined,Fists/Feet 1_tar_gap,Left/Right Fist 2_beta_entropy_real,Left/Right Fist 2_beta_entropy_imagined,Left/Right Fist 2_beta_entropy_gap,Left/Right Fist 2_alpha_entropy_real,Left/Right Fist 2_alpha_entropy_imagined,Left/Right Fist 2_alpha_entropy_gap,Left/Right Fist 2_beta_lzc_real,Left/Right Fist 2_beta_lzc_imagined,Left/Right Fist 2_beta_lzc_gap,Left/Right Fist 2_alpha_lzc_real,Left/Right Fist 2_alpha_lzc_imagined,Left/Right Fist 2_alpha_lzc_gap,Left/Right Fist 2_tar_real,Left/Right Fist 2_tar_imagined,Left/Right Fist 2_tar_gap,Fists/Feet 2_beta_entropy_real,Fists/Feet 2_beta_entropy_imagined,Fists/Feet 2_beta_entropy_gap,Fists/Feet 2_alpha_entropy_real,Fists/Feet 2_alpha_entropy_imagined,Fists/Feet 2_alpha_entropy_gap,Fists/Feet 2_beta_lzc_real,Fists/Feet 2_beta_lzc_imagined,Fists/Feet 2_beta_lzc_gap,Fists/Feet 2_alpha_lzc_real,Fists/Feet 2_alpha_lzc_imagined,Fists/Feet 2_alpha_lzc_gap,Fists/Feet 2_tar_real,Fists/Feet 2_tar_imagined,Fists/Feet 2_tar_gap,Left/Right Fist 3_beta_entropy_real,Left/Right Fist 3_beta_entropy_imagined,Left/Right Fist 3_beta_entropy_gap,Left/Right Fist 3_alpha_entropy_real,Left/Right Fist 3_alpha_entropy_imagined,Left/Right Fist 3_alpha_entropy_gap,Left/Right Fist 3_beta_lzc_real,Left/Right Fist 3_beta_lzc_imagined,Left/Right Fist 3_beta_lzc_gap,Left/Right Fist 3_alpha_lzc_real,Left/Right Fist 3_alpha_lzc_imagined,Left/Right Fist 3_alpha_lzc_gap,Left/Right Fist 3_tar_real,Left/Right Fist 3_tar_imagined,Left/Right Fist 3_tar_gap,Fists/Feet 3_beta_entropy_real,Fists/Feet 3_beta_entropy_imagined,Fists/Feet 3_beta_entropy_gap,Fists/Feet 3_alpha_entropy_real,Fists/Feet 3_alpha_entropy_imagined,Fists/Feet 3_alpha_entropy_gap,Fists/Feet 3_beta_lzc_real,Fists/Feet 3_beta_lzc_imagined,Fists/Feet 3_beta_lzc_gap,Fists/Feet 3_alpha_lzc_real,Fists/Feet 3_alpha_lzc_imagined,Fists/Feet 3_alpha_lzc_gap,Fists/Feet 3_tar_real,Fists/Feet 3_tar_imagined,Fists/Feet 3_tar_gap
S001,-0.023854624586651885,-0.022784334496049108,-0.0010702900906027768,-0.026679967761395917,-0.026697709726281826,1.7741964885908956e-05,-0.03976927509557279,-0.035153167231540335,-0.004616107864032458,-0.06438153270036934,-0.051135310134015274,-0.013246222566354063,0.042703568042951945,0.019206047802863613,0.023497520240088332,-0.01723294563462907,-0.025947366482639733,0.008714420848010662,-0.020067581052021777,-0.015535087538701364,-0.0045324935133204125,-0.039969975437487246,-0.054821800739156934,0.014851825301669688,-0.060568226203994685,-0.06939904124823071,0.008830815044236023,0.025935724888294764,-0.004328951526625047,0.03026467641491981,-0.016514318509952775,-0.021974467217665383,0.005460148707712609,-0.02613459596204948,-0.032371723435365096,0.006237127473315618,-0.051409894926611195,-0.039568574753658325,-0.01184132017295287,-0.05695562004953449,-0.0671913374871717,0.010235717437637203,-0.006224791535243357,-0.004170921096478819,-0.002053870438764538,-0.028670317759619923,-0.02429458953433883,-0.004375728225281095,-0.023391457312343267,-0.020988730436999226,-0.002402726875344041,-0.03575526825728371,-0.04860009013980882,0.012844821882525115,-0.05073390945018638,-0.05394511492081767,0.0032112054706312856,-0.0030962774149938532,0.011441746863739388,-0.014538024278733241,-0.01299056329283621,-0.017006296459479375,0.004015733166643165,-0.02462029027866952,-0.023700477670559716,-0.0009198126081098046,-0.0554239017649003,-0.04719518774640764,-0.008228714018492664,-0.06377943167462596,-0.061371027571652505,-0.002408404102973459,0.0029271099075520723,0.024341480683686856,-0.021414370776134783,-0.019487387326227013,-0.019100041687888702,-0.00038734563833831004,-0.022518336873266653,-0.0246366312025329,0.002118294329266246,-0.05642740347447257,-0.053818299029584654,-0.002609104444887919,-0.052540212527416474,-0.04852620568912736,-0.004014006838289112,0.04404082627320016,-0.02294196000644766,0.06698278627964782
S002,-0.01791823595301778,-0.016658578500942323,-0.0012596574520754578,-0.02921480052845682,-0.025965614759255073,-0.0032491857692017456,-0.04392775985217593,-0.03750534891091337,-0.006422410941262557,-0.059732733568613944,-0.06214113767158741,0.002408404102973466,-0.026204575144911035,-0.03280296227256453,0.006598387127653496,-0.016045990953610922,-0.01157945611402511,-0.004466534839585812,-0.02598351758626949,-0.030780854625343412,0.004797337039073923,-0.043526359168347004,-0.042522857458774745,-0.001003501709572259,-0.06715864621944878,-0.057123629123726025,-0.010035017095722756,-0.016040236987632114,-0.021655619132329065,0.005615382144696951,-0.017184944585051154,-0.015674144723112793,-0.0015107998619383611,-0.04289674386143438,-0.029149080760431878,-0.013747663101002505,-0.0485438677162084,-0.05135367250301077,0.0028098047868023654,-0.057324329465640485,-0.05752502980755493,0.00020070034191444625,-0.019038249726098494,-0.03528924268892497,0.016250992962826477,-0.013138495227627334,-0.021908215851032087,0.008769720623404753,-0.00480524353991707,-0.03529243445115615,0.03048719091123908,-0.042522857458774745,-0.04894526840003731,0.006422410941262564,-0.0559194270722393,-0.06133833630392959,0.0054189092316902915,-0.019293825298239156,-0.04468532980216798,0.025391504503928825,-0.01634501682484435,-0.014340125444816554,-0.0020048913800277957,-0.028211118558336357,-0.03147524829204229,0.003264129733705934,-0.04633616395514939,-0.04733966566472167,0.0010035017095722798,-0.03966269937716843,-0.0559194270722393,0.016256727695070868,-0.0251770018808649,-0.035172075801915045,0.009995073921050146,-0.010092663875067576,-0.019111771703140268,0.009019107828072692,-0.02964566239526445,-0.027817462486263045,-0.0018281999090014045,-0.06399779404362144,-0.050350170793438495,-0.013647623250182941,-0.04447950758311536,-0.056922928781811585,0.012443421198696222,-0.005192963356194666,-0.038347880094276685,0.03315491673808202
S003,-0.015056021046136014,-0.01575377894850527,0.0006977579023692559,-0.03200321067160172,-0.029920769923384327,-0.0020824407482173957,-0.0681458022951596,-0.07376541186876434,0.005619609573604745,-0.05340708003730058,-0.06043159200430651,0.007024511967005931,-0.30167915668734413,-0.4065511972483219,0.10487204056097776,-0.01648684096714259,-0.020879625911792488,0.004392784944649897,-0.030347052448705947,-0.024797148584600026,-0.005549903864105921,-0.06252619272155487,-0.06393109511495604,0.0014049023934011723,-0.061234393371964325,-0.05581548414027404,-0.0054189092316902845,-0.16990904402521534,-0.13630831275008692,-0.033600731275128415,-0.021230991471438143,-0.013740420111065688,-0.0074905713603724555,-0.008701974358182762,-0.02273352867197309,0.014031554313790329,-0.0681458022951596,-0.07195910879153425,0.003813306496374652,-0.06725540362939798,-0.05380848072112948,-0.013446922908268502,-0.21079345416314987,-0.23079488219668076,0.020001428033530888,-0.009026058848729868,-0.015614030478307894,0.006587971629578027,-0.026416885122318656,-0.017620444955098957,-0.008796440167219699,-0.05670588280603566,-0.06453319614069941,0.00782731333466375,-0.0698645080742859,-0.05481198243070177,-0.015052525643584135,-0.15162330164175175,-0.24137773786920358,0.08975443622745183,-0.012915154560349307,-0.01570690302664768,0.0027917484662983716,-0.027098028835256138,-0.02098559671401723,-0.006112432121238909,-0.07717731768131009,-0.06031848896049586,-0.016858828720814227,-0.05742108687558968,-0.06805820499705581,0.01063711812146613,-0.23754748524541547,-0.3111587272938958,0.07361124204848035,-0.00643822962119156,-0.019357358272502734,0.012919128651311174,-0.02192982785533637,-0.016557877768049956,-0.0053719500872864145,-0.07557171494599445,-0.06493459682452833,-0.010637118121466116,-0.04497766567689346,-0.05140007661815602,0.006422410941262564,-0.21782108184588467,-0.2697746386899479,0.05195355684406322
S004,-0.012258019890029725,-0.004979329129815024,-0.007278690760214701,-0.020064436215353143,-0.009292634240234743,-0.0107718019751184,-0.04981213590992141,-0.059847153005644166,0.010035017095722756,-0.044988142181958415,-0.027928613119229728,-0.017059529062728687,0.012999556755454347,0.026529138641149738,-0.013529581885695391,-0.012214192547656322,0.0045897916657603455,-0.016803984213416667,-0.009534170540091202,-0.012351509656236881,0.0028173391161456784,-0.05482964445778278,-0.047403731806947944,-0.007425912650834837,-0.043382539446642776,-0.03535452577006456,-0.008028013676578218,0.10335872249261682,0.009178864729985914,0.09417985776263091,-0.010938507173201995,-0.009299934680620847,-0.0016385724925811473,-0.015330196875748214,-0.00035797892504518813,-0.014972217950703026,-0.0516184389871515,-0.045196028045888945,-0.006422410941262557,-0.04980495038790533,-0.0504070514136487,0.0006021010257433665,0.055986777928798054,0.015143082674645023,0.04084369525415303,-0.007314416405684199,-0.0070290580468208574,-0.00028535835886334127,-0.007327977762532578,-0.004591027744553111,-0.002736950017979467,-0.04680163078120458,-0.05302334138055269,0.006221710599348111,-0.050005650729819794,-0.012273986449902241,-0.03773166427991755,0.06639712429876757,0.00043584170103364017,0.06596128259773393,-0.011519720626984142,-0.01143341313284496,-8.63074941391817e-05,-0.018174633369556936,-0.018601509304498998,0.00042687593494206144,-0.05884365129607189,-0.053826142748210515,-0.005017508547861378,-0.0329461216670911,-0.05201265414896434,0.01906653248187324,0.019058999454113323,-0.003070957070941363,0.022129956525054686,-0.005493766746152318,-0.008028779460713564,0.0025350127145612467,-0.0031105495011172213,-0.013663208983248687,0.010552659482131466,-0.056033846509269514,-0.041583421891428746,-0.014450424617840768,-0.04860074833641861,-0.04538954286578732,-0.0032112054706312856,0.08763738441443919,0.011731969243681625,0.07590541517075756
S005,0.00618780105418304,-0.00016359114085240378,0.0063513921950354435,-0.03459857166444791,-0.019040438329505305,-0.015558133334942603,-0.05621754302071272,-0.04999583242136462,-0.006221710599348097,-0.06375392592891913,-0.04127548763450016,-0.022478438294418965,2.445286287464099e-05,0.03513824437598556,-0.03511379151311092,0.01079913744169203,0.005175368094220478,0.005623769347471552,-0.030733623927891585,-0.025096759436124882,-0.005636864491766702,-0.04758742831839116,-0.0532070378919959,0.005619609573604738,-0.07198263994741178,-0.06495812798040584,-0.007024511967005931,-0.013939422118066563,-0.006833740417060044,-0.007105681701006519,0.011784931338975402,0.0002616492653402247,0.011523282073635177,-0.013933253306081972,-0.02429049813479245,0.010357244828710477,-0.06404485635537648,-0.05822454643985728,-0.005820309915519198,-0.07338754234081296,-0.04448669310513141,-0.02890084923568155,-0.009303404161061804,-0.0056595236643223745,-0.0036438804967394295,0.01856874882836901,0.007243260577726174,0.011325488250642834,-0.029055056542805158,-0.017266894889746864,-0.011788161653058293,-0.06404485635537648,-0.05421053960156818,-0.009834316753808296,-0.0643560269546625,-0.07559524610187196,0.011239219147209462,0.006008270780144417,0.02686434805969562,-0.020856077279551202,0.010769899440761788,0.009119727036905556,0.0016501724038562315,-0.017338635400186986,0.0011174345975328848,-0.01845606999771987,-0.05360843857582481,-0.05260493686625253,-0.0010035017095722798,-0.07740154917910207,-0.06355322558700466,-0.013848323592097408,0.009865887620613037,0.011749020680140984,-0.0018831330595279472,0.020864096947855515,0.011159784062230393,0.009704312885625122,-0.022281827581172475,-0.019609411515675523,-0.002672416065496952,-0.06243925362006083,-0.059629448833258464,-0.0028098047868023654,-0.028229965410060565,-0.060342020116373386,0.03211205470631282,-0.0020075445336764502,0.01617757053429772,-0.01818511506797417
S006,-0.009932936816473559,-0.01150595224333828,0.0015730154268647212,-0.013531501849841865,-0.011435417700176087,-0.002096084149665778,-0.06014329436428825,-0.051713880003881135,-0.008429414360407117,-0.06687621770822705,-0.06266151052802348,-0.004214707180203572,-0.031226414905245886,-0.04126624882409147,0.010039833918845581,-0.002162374144507817,-0.009179787389835048,0.007017413245327231,-0.020725518159392498,-0.019629681878349348,-0.00109583628104315,-0.0519145803457956,-0.053720883423025695,0.0018063030772300925,-0.06446781360525358,-0.06326361155376685,-0.001204202051486733,-0.029968212716405485,-0.03142903707735892,0.0014608243609534333,0.018278487844861524,0.005112153820861054,0.01316633402400047,-0.011024725674433133,-0.010836723660672898,-0.00018800201376023562,-0.060544695048117166,-0.055727886842170254,-0.004816808205946911,-0.055034897535274185,-0.06366501223759577,0.008630114702321584,-0.05072272005892907,-0.05526416363072198,0.004541443571792911,0.016046459001806235,0.011000831134052147,0.005045627867754088,-0.005746260213658316,-0.011768098317182063,0.006021838103523747,-0.0541222841068546,-0.051513179661966696,-0.0026091044448879053,-0.07791473651352207,-0.06587271599865477,-0.012042020514867302,-0.04688146708601061,-0.050148406166906315,0.0032669390808957033,0.01737608973651128,0.009934560823086969,0.007441528913424311,-0.00407043316561384,-0.0029720733208445926,-0.0010983598447692478,-0.051513179661966696,-0.06194959744151836,0.010436417779551663,-0.07931963890692326,-0.0343627623180853,-0.04495687658883796,-0.04370047402012642,-0.053547281744339176,0.009846807724212758,0.001071027349942466,-0.003537836230918301,0.004608863580860767,-0.007377899154486722,-0.008825342934026925,0.0014474437795402029,-0.054925085474512435,-0.043485165985388485,-0.01143991948912395,-0.06828112010162823,-0.07209442659800287,0.0038133064963746383,-0.051772380170821725,-0.05856864041357805,0.006796260242756327
S007,-0.03766063232928041,-0.034772498678790176,-0.002888133650490232,-0.025893484278283196,-0.022621320829156022,-0.0032721634491271745,-0.07788988896442502,-0.08069969375122739,0.0028098047868023723,-0.04224174534077252,-0.05107256038500857,0.008830815044236051,0.0065533572614799585,0.00967645239530801,-0.003123095133828052,-0.036612989342123536,-0.02691829489383879,-0.009694694448284746,-0.006905333657979074,-0.013789731510074343,0.00688439785209527,-0.07066467665550463,-0.06885837357827454,-0.0018063030772300925,-0.022773812175070407,-0.041238243631200266,0.01846443145612986,0.05583898018560013,0.02042475214274453,0.0354142280428556,-0.02923915781843589,-0.027751480920911176,-0.0014876768975247145,-0.02542484341045581,-0.0007337416735984092,-0.0246911017368574,-0.07427728280996482,-0.07548148486145156,0.0012042020514867469,-0.03200602790313532,-0.05368166482989648,0.02167563692676116,0.018915218132072642,-0.0016284152371255634,0.020543633369198205,-0.02817355928022025,-0.03309651199200381,0.004922952711783557,-0.0029411308867666186,-0.005691552266871014,0.0027504213801043953,-0.06705207050104445,-0.07327378110039255,0.006221710599348104,-0.05307956380415312,-0.05588936859095549,0.0028098047868023654,0.01241918453859489,0.03562780976584884,-0.02320862522725395,-0.03071335529810859,-0.022197512020337817,-0.008515843277770774,-0.008615994713714659,-0.021459078373995633,0.012843083660280974,-0.07407658246805038,-0.07788988896442502,0.0038133064963746383,-0.055688668249041035,-0.034213731664194336,-0.0214749365848467,0.00213264257997528,-0.011692061733178744,0.013824704313154024,-0.040185047757360426,-0.02802614624240851,-0.012158901514951914,-0.011780911535261285,-0.009447135126520956,-0.002333776408740329,-0.07608358588719492,-0.07688638725485275,0.0008028013676578266,-0.060706176796902406,-0.04163964431502917,-0.019066532481873233,0.03703201502283768,-0.010682328223816179,0.047714343246653856
S008,-0.009597210989276128,-0.008769156819223856,-0.0008280541700522726,-0.024844369482606043,-0.006760506478796224,-0.01808386300380982,-0.05820754260938605,-0.06182014876384624,0.003612606154460192,-0.07597898475861987,-0.09504551724049311,0.019066532481873233,0.024399001904982343,0.010770840707274021,0.013628161197708322,-0.0028904648592312787,-0.00507048312767211,0.002180018268440831,-0.03655805021837755,0.01604844334910882,-0.05260649356748637,-0.06061594671235951,-0.07165446551765453,0.011038518805295022,-0.07256707894607414,-0.06654606868864046,-0.006021010257433679,-0.009223471932107125,0.05575810328772443,-0.06498157521983156,-0.008431859512816109,-0.006104241879114181,-0.0023276176337019283,0.001311531834042312,-0.0013645215711707293,0.0026760534052130414,-0.06081664705427396,-0.06663695696979316,0.005820309915519198,-0.07818668851967889,-0.07035937518501513,-0.007827313334663757,0.04460288601776033,-0.015823587297823294,0.06042647331558362,-0.002293740698133817,-0.007335478292791797,0.00504173759465798,-0.01987270307760547,-0.014058750001510023,-0.005813953076095446,-0.06543275491830644,-0.04877462653940665,-0.016658128378899788,-0.07959159091308007,-0.08179929467413907,0.002207703761058999,0.09955054957940998,0.01589112830351902,0.08365942127589096,-0.009289056576693877,-0.01252691259368599,0.0032378560169921133,-0.013605389581983873,-0.0029584703491754016,-0.010646919232808472,-0.06743975833745099,-0.05539773782258367,-0.012042020514867316,-0.09143291108603291,-0.091031510402204,-0.00040140068382890637,0.30320574308350423,0.06867857332944768,0.23452716975405655,0.0031470000364381967,-0.009064329110302416,0.012211329146740613,-0.015822913466285393,-0.027593555959782856,0.011770642493497463,-0.07326006825297018,-0.057806141925557136,-0.015453926327413048,-0.0695565738173573,-0.06955657381735732,1.3877787807814457e-17,0.6921847571450941,-0.018070942163503245,0.7102556993085973
S009,-0.009308089002725173,-0.01897442261992499,0.009666333617199818,-0.04568962609624683,-0.0274755825134253,-0.018214043582821526,-0.05880179991650356,-0.057196197181187916,-0.0016056027353156463,-0.061026507508033796,-0.047378884257850834,-0.013647623250182962,0.09699805032020681,-0.0152338768695498,0.11223192718975661,-0.013565127705124524,-0.012948782200071673,-0.000616345505052851,-0.06108762885765484,-0.03728139834609079,-0.023806230511564053,-0.05679479649735901,-0.06201300538713485,0.005218208889775838,-0.05901950408888925,-0.030720755878951067,-0.028298748209938183,0.16296554994156176,0.0042312889810242615,0.1587342609605375,-0.02038605791924686,-0.017421613930423296,-0.002964443988823562,-0.05310159487888533,-0.047001114321499116,-0.006100480557386212,-0.054386392394385544,-0.06201300538713485,0.007626612992749304,-0.0570125006697447,-0.044368379129134036,-0.012644121540610662,0.027682293806982727,-0.07169538410080017,0.0993776779077829,-0.023234118985767882,-0.02495729866293328,0.0017231796771653984,-0.04075909376746778,-0.034207532492792736,-0.006551561274675044,-0.06482281017393722,-0.06602701222542395,0.001204202051486733,-0.03854806921361481,-0.03513616340106909,-0.003411905812545718,-0.00810389173766396,-0.07096021489531734,0.06285632315765338,-0.024464314912771568,-0.018657231763560267,-0.005807083149211301,-0.05756279142452059,-0.06578512786913304,0.008222336444612455,-0.059403900942246936,-0.06201300538713485,0.002609104444887912,-0.057012500669744705,-0.04436837912913402,-0.012644121540610682,0.03983856823608356,0.027832031140193947,0.012006537095889613,-0.016675873537646435,-0.008446068181373612,-0.008229805356272824,-0.028743862573877732,-0.041914385449378755,0.013170522875501023,-0.050171685214181985,-0.06341790778053603,0.013246222566354049,-0.034734762717240186,-0.05059008972848214,0.015855327011241954,0.03402729955319844,-0.007415218355364295,0.04144251790856274
S010,-0.013305427927081337,-0.017731050010796334,0.004425622083714997,-0.03272840972399571,-0.027780507495578366,-0.004947902228417345,-0.04266014985507268,-0.03964964472635585,-0.0030105051287168325,-0.055309482327870085,-0.05089407480575207,-0.004415407522118019,-0.09183606445345027,-0.050091483971241635,-0.04174458048220864,-0.018785171250681687,-0.015558396858446844,-0.0032267743922348435,-0.03201945691021446,-0.01730952953341347,-0.01470992737680099,-0.03202303173360656,-0.04707555737719069,0.015052525643584135,-0.05510878198595563,-0.06935850626188195,0.014249724275926315,-0.16024592638562807,-0.05376844870264741,-0.10647747768298066,-0.015153742627551647,-0.015487794905757912,0.00033405227820626493,-0.017346859928999425,-0.02983079947102052,0.012483939542021094,-0.04827975942867743,-0.04607205566761842,-0.0022077037610590128,-0.055108781985955646,-0.051696876173409886,-0.0034119058125457596,-0.040493400044687045,-0.06764119855222706,0.02714779850754001,-0.012642635837978533,-0.020416541547200517,0.007773905709221984,-0.018562629945261033,-0.028604874263573166,0.010042244318312132,-0.04426575259038833,-0.04506855395804615,0.0008028013676578197,-0.05450668096021227,-0.055710883011699006,0.001204202051486733,-0.08669238278668134,0.007535638507913278,-0.09422802129459462,-0.0036126175012047845,-0.010068392035764484,0.0064557745345596995,-0.025839634668734512,-0.025039680796618002,-0.00079995387211651,-0.0376426413072113,-0.040051045410184755,0.002408404102973452,-0.060929091901474844,-0.057517186088929105,-0.003411905812545739,-0.05734894809147628,-0.10278796271397767,0.045439014622501384,-0.012149374557128945,-0.01157197287944034,-0.0005774016776886048,-0.028170514570850402,-0.030016666376201595,0.0018461518053511927,-0.05289586729270989,-0.045871355325703966,-0.007024511967005924,-0.048887071386607514,-0.0753795165193156,0.026492445132708084,-0.169926133662464,-0.12709128002118125,-0.042834853641282755
