subject_id,rpl,resting_alpha_power,resting_total_power,smr_strength,mu_erd_real_C3,mu_erd_real_C4,mu_erd_real_Cz,beta_erd_real_C3,beta_erd_real_C4,beta_erd_real_Cz,mu_ers_real_C3,mu_ers_real_C4,mu_ers_real_Cz,beta_ers_real_C3,beta_ers_real_C4,beta_ers_real_Cz,mu_erd_imagined_C3,mu_erd_imagined_C4,mu_erd_imagined_Cz,beta_erd_imagined_C3,beta_erd_imagined_C4,beta_erd_imagined_Cz,mu_ers_imagined_C3,mu_ers_imagined_C4,mu_ers_imagined_Cz,beta_ers_imagined_C3,beta_ers_imagined_C4,beta_ers_imagined_Cz
S001,2.513672110833331,1.189927922415246e-10,4.733823147764335e-11,7.047675501181409,-86.08119832537709,-79.7504801567759,-79.75383769145856,-70.42258629766468,-50.05222616214115,-60.26295316534171,231.71085720634687,866.7695628794387,107.55687649728445,112.25344563005541,175.8612607548166,218.66595407629396,-79.28832881131014,-68.7564217281021,-72.04502026397599,-51.95233266193213,-39.79887918932395,-45.82023262932088,95.0993302120855,388.3506431319901,400.75685896808596,60.54140643603698,98.57668762434876,105.99200688722046
S002,3.4970485628603787,5.3574823531626893e-11,1.5320011309138315e-11,3.6129428874367235,-91.71124411840404,-91.14236781960281,-80.04803541281188,-70.46625126088037,-81.44063622913734,-55.765812854315236,152.5834070015675,224.92334632352458,157.36757994368563,63.946757989605054,86.74347873365383,99.28870491689644,-85.41921863125553,-80.28527976324925,-83.04916907710704,-46.538632355380095,-47.366582852347705,-60.705868800721966,146.31712227333853,227.1203130323775,366.2095977232716,155.34575339916972,125.25751730538998,407.60958212180253
S003,0.9819745825871627,1.282097214704057e-10,1.305631772388828e-10,2.8835718957282026,-64.60482199525238,-65.89788424998434,-69.57646796048024,-72.84142691375737,-66.44526146098212,-73.98493586306867,1025.7432250245581,577.8266544440459,880.3687211590013,94.1280802329828,183.41916479360847,144.6527617545248,-38.45510570608477,-64.5780248590401,-53.47133809051389,-42.87374203650419,-43.27530816757877,-46.84056631092965,1873.7089831369917,495.294982671147,1289.9509968005364,99.60847425394417,58.01709760973471,99.10305807036458
S004,1.7079291034632458,1.413210285756204e-11,8.274408363266209e-12,1.9727070481802826,-75.33405016968382,-82.5007520430911,-76.12472673996716,-84.32383455989617,-82.14473316952417,-79.91251068763466,164.69307214194993,906.4358945291916,299.1757271747701,16.72969260863006,112.35891795430311,243.23369301525906,-82.39058060795486,-77.54841694294076,-81.07439149453612,-43.42479279744813,-40.20610319413217,-62.410340006791785,515.0601317517028,308.1162919766599,536.6497627221179,121.87095566105342,147.42078556056188,113.03446029461799
S005,1.2535682839199784,5.917130955897488e-12,4.720230267308844e-12,2.8118388405341364,-58.961457335916215,-77.9103144462131,-73.30578504116488,-71.82974210578058,-83.56754609648424,-62.23387645140412,303.1428171173909,476.64525432209024,369.3790532320154,45.83922446720384,157.8637761336718,137.93032121551082,-47.35258791753477,-70.4840028279842,-72.0168815211517,-65.40413610595282,-65.06386814613086,-40.098211861490135,735.634248666032,408.2425643866966,182.3531230859378,82.65163749825028,125.0259411297716,72.5076566800952
S006,0.6068745139225001,3.705227159574179e-12,6.105425544443523e-12,2.4837602515156902,-71.88719796008334,-61.07222406104816,-52.200808002203644,-74.61597382035455,-45.89294375089219,-48.481297419223566,439.92687675488344,792.5539768858774,282.3493455076598,93.78756280259594,142.19548952027475,139.16549220698852,-65.94333760232246,-66.95038650043479,-65.81197823700543,-55.10889939910088,-66.3334164705713,-61.07236476162491,194.06972033133724,388.82849485962,268.1327622060302,162.87453533763963,90.22837765296246,97.03750859305474
S007,3.4732290449089516,6.534590846011091e-11,1.8814166188059133e-11,5.198240300590832,-47.001289516778606,-76.58280341471863,-57.87869020252163,-68.48841555016926,-77.66768823370519,-75.19810337250102,243.94808525567035,606.459935425096,335.6197575508189,123.34456410333816,212.4161125373097,47.768595536749686,-68.35136980367899,-70.45739483586765,-75.1007734584195,-57.8177793075226,-63.049364729670074,-46.35633843153961,709.5438936176704,354.1828301897563,802.4316487315408,217.72574669451564,120.83551461931596,184.16309584786862
S008,2.243200615666547,3.68703135020821e-11,1.643647618700676e-11,1.8279168326765927,-83.99623564266601,-79.47439977806827,-82.5379283456686,-60.242086183459975,-61.05768907090702,-62.95001439851894,480.7978764573984,436.50397596469406,531.6227570134148,32.05897120936731,25.4680104765893,34.543095611851705,-35.80734113813091,-44.931269043339725,-48.8469765040075,-51.88357735371086,-58.820195353078795,-46.30740413949147,867.1668233706919,305.4683264425084,339.0127604455773,85.3405359038263,145.25747788903993,370.3766687488059
S009,1.5201443669864074,4.614527142806456e-11,3.035584805642159e-11,3.9159337899409863,-56.54598520471724,-65.40632336526126,-77.9154474648025,-43.33276469308522,-34.11526858420743,-38.25191307664299,194.40094817230028,214.33588430009712,266.96831120310577,99.61954716325619,128.2147578718615,99.67622627030586,-68.83851727556019,-76.95555113895207,-82.56649352061032,-48.59564588143766,-39.61295109912446,-46.79002917271865,287.7961975992822,341.1941563267475,272.8320569158633,331.352445568489,59.86516691218565,131.99270177078301
S010,1.9520521963042283,1.112662959985669e-10,5.69996520632105e-11,2.728515836220261,-85.8892116436604,-79.08092547778872,-86.505638631957,-34.446735954404,-52.12843901172798,-56.71805533700957,92.70938040238684,76.39877289539653,421.50463085716694,121.2765013276473,216.49381884769926,122.2773152916335,-64.72697581496845,-53.557853313424374,-68.0613569365168,-56.923539539346656,-48.909250815297185,-59.00819140925721,270.3227987452903,174.8924418690358,217.9204417949752,152.23979166581725,103.61567302121331,100.53278547593764
