freq_band,lda_shrinkage,n_csp_components,time_window,mean_accuracy,n_subjects
"[8, 13]",0.5,8,"[0.5, 4.0]",0.7377777777777778,5
"[8, 13]",auto,8,"[0.5, 4.0]",0.7155555555555555,5
"[8, 13]",auto,4,"[0.5, 4.0]",0.7022222222222222,5
"[8, 13]",0.5,4,"[0.5, 4.0]",0.6933333333333334,5
"[8, 13]",0.1,8,"[0.5, 4.0]",0.6933333333333331,5
"[4, 40]",0.1,8,"[0.5, 4.0]",0.6888888888888889,5
"[8, 13]",auto,6,"[0.5, 4.0]",0.6888888888888889,5
"[8, 13]",0.5,6,"[0.5, 4.0]",0.6888888888888889,5
"[8, 13]",0.1,4,"[0.5, 4.0]",0.6888888888888888,5
"[8, 13]",0.1,6,"[0.5, 4.0]",0.6844444444444445,5
"[13, 30]",0.5,6,"[0.5, 4.0]",0.6844444444444444,5
"[13, 30]",auto,6,"[0.5, 4.0]",0.68,5
"[13, 30]",0.1,6,"[0.5, 4.0]",0.671111111111111,5
"[8, 13]",,4,"[0.5, 4.0]",0.671111111111111,5
"[8, 13]",,8,"[0.5, 4.0]",0.6666666666666667,5
"[4, 40]",,8,"[0.5, 4.0]",0.6666666666666667,5
"[7, 30]",0.5,4,"[0.5, 4.0]",0.6666666666666666,5
"[8, 13]",0.1,4,"[1.0, 4.0]",0.6666666666666666,5
"[13, 30]",0.5,8,"[0.5, 4.0]",0.6666666666666666,5
"[8, 13]",0.5,4,"[1.0, 4.0]",0.6622222222222223,5
"[8, 13]",,6,"[0.5, 4.0]",0.6622222222222222,5
"[7, 30]",auto,4,"[0.5, 4.0]",0.6622222222222222,5
"[7, 30]",,4,"[0.5, 4.0]",0.6577777777777778,5
"[13, 30]",auto,4,"[0.5, 4.0]",0.6577777777777778,5
"[13, 30]",0.1,8,"[0.5, 4.0]",0.6577777777777778,5
"[7, 30]",0.1,4,"[0.5, 4.0]",0.6577777777777777,5
"[7, 30]",auto,6,"[0.5, 4.0]",0.6533333333333334,5
"[7, 30]",0.5,8,"[0.5, 4.0]",0.6533333333333334,5
"[13, 30]",,6,"[0.5, 4.0]",0.6488888888888888,5
"[7, 30]",0.5,6,"[0.5, 4.0]",0.6488888888888888,5
"[8, 13]",,4,"[1.0, 4.0]",0.6444444444444445,5
"[8, 13]",auto,4,"[1.0, 4.0]",0.6444444444444445,5
"[4, 40]",0.5,8,"[0.5, 4.0]",0.6444444444444445,5
